word	occu	freq-per-mill	usual	rank	racio
começas	3	1032.70	10.67	93739	96.81
consciência	3	1032.70	635.45	1571	1.63
sociedade	3	1032.70	2343.57	424	0.44
mandar	3	1032.70	129.92	4301	7.95
dia	3	1032.70	11837.01	67	0.09
alguém	3	1032.70	1777.15	560	0.58
passar	3	1032.70	1787.91	531	0.58
palestiniano	3	1032.70	8.41	83915	122.84
partilhar	3	1032.70	108.14	6768	9.55
aparecer	3	1032.70	220.86	2890	4.68
gerir	3	1032.70	114.00	8769	9.06
!	3	1032.70	24570.02	38	0.04
desde	3	1032.70	5327.65	185	0.19
lenço	3	1032.70	56.51	17694	18.28
lutar	3	1032.70	297.38	3360	3.47
objeto	3	1032.70	629.45	1586	1.64
andar	3	1032.70	69.46	1575	14.87
próximo	3	1032.70	1385.39	430	0.75
seu	3	1032.70	23310.55	42	0.04
bem	3	1032.70	13947.00	69	0.07
resistência	3	1032.70	594.99	1678	1.74
união	3	1032.70	346.90	2880	2.98
luta	3	1032.70	1024.91	973	1.01
acreditar	3	1032.70	393.07	2705	2.63
desafio	3	1032.70	505.13	1704	2.04
obstáculo	3	1032.70	167.82	11870	6.15
fizemos	3	1032.70	239.54	4172	4.31
pessimista	3	1032.70	38.66	25862	26.71
atividade	3	1032.70	2749.52	656	0.38
Olá	2	688.47	685.07	1457	1.00
qual	2	688.47	7955.45	123	0.09
onde	2	688.47	10559.66	92	0.07
Porto	2	688.47	1490.98	668	0.46
envolvimento	2	688.47	221.60	4510	3.11
entrar	2	688.47	116.03	773	5.93
mudar	2	688.47	79.12	1047	8.70
abrir-me	2	688.47	3.35	298411	205.45
foi	2	688.47	26525.20	35	0.03
associação	2	688.47	286.88	2653	2.40
ligar	2	688.47	194.15	3657	3.55
puxar	2	688.47	48.88	11181	14.09
ação	2	688.47	2371.35	419	0.29
estive	2	688.47	139.94	7143	4.92
acontecer	2	688.47	365.45	1427	1.88
Climática	2	688.47	56.69	66691	12.14
Estudantil	2	688.47	75.70	20377	9.10
parte	2	688.47	8718.40	112	0.08
envolvido	2	688.47	108.58	5637	6.34
amigo	2	688.47	1303.14	893	0.53
ninguém	2	688.47	1267.91	786	0.54
antes	2	688.47	5443.66	181	0.13
envolver-me	2	688.47	4.55	219824	151.34
apoiar	2	688.47	176.40	3589	3.90
pois	2	688.47	6863.42	143	0.10
mudança	2	688.47	1081.43	922	0.64
fundo	2	688.47	1015.54	982	0.68
cidade	2	688.47	7107.32	138	0.10
tanto	2	688.47	2049.35	272	0.34
UMAR	2	688.47	9.44	105951	72.95
Armário	2	688.47	142.99	38754	4.81
Ação	2	688.47	2371.35	3655	0.29
Conjunta	2	688.47	124.21	41000	5.54
Academia	2	688.47	307.53	3249	2.24
ajudar	2	688.47	938.49	559	0.73
vigília	2	688.47	11.47	24933	60.04
conhecimento	2	688.47	2021.43	492	0.34
através	2	688.47	5534.03	178	0.12
quase	2	688.47	3271.18	303	0.21
vários	2	688.47	3023.89	328	0.23
boca	2	688.47	644.87	1548	1.07
tirar	2	688.47	86.86	1167	7.93
entre	2	688.47	14771.05	65	0.05
evento	2	688.47	1134.17	349	0.61
ganhar	2	688.47	941.00	1060	0.73
impacto	2	688.47	637.88	1565	1.08
várias	2	688.47	2633.66	377	0.26
tens	2	688.47	150.07	6661	4.59
ficar	2	688.47	3051.57	325	0.23
menos	2	688.47	5963.03	165	0.12
preciso	2	688.47	1954.27	509	0.35
mensagem	2	688.47	658.57	1216	1.05
opinião	2	688.47	866.78	1151	0.79
algum	2	688.47	2423.07	379	0.28
reunião	2	688.47	336.62	1204	2.05
ponto	2	688.47	2834.81	338	0.24
situação	2	688.47	2405.58	413	0.29
