palavra,ocorrencias,freq_per_mill,usual,ranking,ratio
estados,1,1956.95,0.01,1710.0,195694.72
mora,1,1956.95,0.01,3600.0,195694.72
organizadas,1,1956.95,0.01,10282.0,195694.72
presencialmente,1,1956.95,0.01,27693.0,195694.72
encontrar,1,1956.95,0.01,497.0,195694.72
conversas,1,1956.95,0.01,4833.0,195694.72
investir,1,1956.95,0.01,2233.0,195694.72
percebeu,1,1956.95,0.01,6006.0,195694.72
dela,1,1956.95,0.01,667.0,195694.72
ia,1,1956.95,0.01,1770.0,195694.72
achar,1,1956.95,0.01,2396.0,195694.72
fato,1,1956.95,0.01,378.0,195694.72
feliz,1,1956.95,0.01,952.0,195694.72
daquilo,1,1956.95,0.01,5512.0,195694.72
contato,1,1956.95,0.01,538.0,195694.72
achei,1,1956.95,0.01,1803.0,195694.72
ficando,1,1956.95,0.01,2040.0,195694.72
porta,1,1956.95,0.01,1124.0,195694.72
esperando,1,1956.95,0.01,3229.0,195694.72
sintonia,1,1956.95,0.01,10070.0,195694.72
realmente,1,1956.95,0.01,512.0,195694.72
humor,1,1956.95,0.01,2915.0,195694.72
inicialmente,1,1956.95,0.01,3169.0,195694.72
desembarque,1,1956.95,0.01,15599.0,195694.72
saí,1,1956.95,0.01,11999.0,195694.72
chegou,1,1956.95,0.01,713.0,195694.72
descrição,1,1956.95,0.01,3464.0,195694.72
motta,1,1956.95,0.01,154029.0,195694.72
carolina,1,1956.95,0.01,67712.0,195694.72
amo,1,1956.95,0.01,2812.0,195694.72
errada,1,1956.95,0.01,6762.0,195694.72
trás,1,1956.95,0.01,1555.0,195694.72
viveu,1,1956.95,0.01,4772.0,195694.72
teto,1,1956.95,0.01,4304.0,195694.72
etapa,1,1956.95,0.01,1465.0,195694.72
cozinho,1,1956.95,0.01,78355.0,195694.72
cozinha,1,1956.95,0.01,1035.0,195694.72
deita,1,1956.95,0.01,31500.0,195694.72
cantinho,1,1956.95,0.01,8784.0,195694.72
pergunta,1,1956.95,0.01,1671.0,195694.72
resposta,1,1956.95,0.01,845.0,195694.72
diferença,1,1956.95,0.01,927.0,195694.72
objetivas,1,1956.95,0.01,10710.0,195694.72
rápidas,1,1956.95,0.01,7819.0,195694.72
fluiu,1,1956.95,0.01,64769.0,195694.72
denominei,1,1956.95,0.01,213054.0,195694.72
separei,1,1956.95,0.01,24984.0,195694.72
íamos,1,1956.95,0.01,21537.0,195694.72
surgir,1,1956.95,0.01,5402.0,195694.72
poderia,1,1956.95,0.01,587.0,195694.72
sério,1,1956.95,0.01,2784.0,195694.72
nisso,1,1956.95,0.01,2943.0,195694.72
conversar,1,1956.95,0.01,3398.0,195694.72
trocando,1,1956.95,0.01,13713.0,195694.72
atenciosidade,1,1956.95,0.01,,195694.72
perceber,1,1956.95,0.01,1807.0,195694.72
compartilhar,1,1956.95,0.01,2401.0,195694.72
conhecíamos,1,1956.95,0.01,44425.0,195694.72
natural,1,1956.95,0.01,666.0,195694.72
tese,1,1956.95,0.01,4052.0,195694.72
moro,1,1956.95,0.01,8948.0,195694.72
acostumando,1,1956.95,0.01,34389.0,195694.72
virava,1,1956.95,0.01,46874.0,195694.72
portugal,1,1956.95,0.01,11591.0,195694.72
perfeito,1,1956.95,0.01,1556.0,195694.72
brasileira,1,1956.95,0.01,678.0,195694.72
há,1,1956.95,0.01,114.0,195694.72
falar,1,1956.95,0.01,409.0,195694.72
namorada,1,1956.95,0.01,5105.0,195694.72
seja,1,1956.95,0.01,126.0,195694.72
exatamente,1,1956.95,0.01,1358.0,195694.72
pudesse,1,1956.95,0.01,3335.0,195694.72
reviver,1,1956.95,0.01,18887.0,195694.72
justificasse,1,1956.95,0.01,71068.0,195694.72
existe,1,1956.95,0.01,529.0,195694.72
detalhe,1,1956.95,0.01,3504.0,195694.72
assustava,1,1956.95,0.01,74559.0,195694.72
bagunçado,1,1956.95,0.01,46228.0,195694.72
hábito,1,1956.95,0.01,4575.0,195694.72
conseguimos,1,1956.95,0.01,3969.0,195694.72
ligações,1,1956.95,0.01,4321.0,195694.72
surpresa,1,1956.95,0.01,2470.0,195694.72
fazíamos,1,1956.95,0.01,33013.0,195694.72
prazer,1,1956.95,0.01,1552.0,195694.72
cuidado,1,1956.95,0.01,1359.0,195694.72
especiais,1,1956.95,0.01,1366.0,195694.72
admira,1,1956.95,0.01,21758.0,195694.72
ruins,1,1956.95,0.01,7348.0,195694.72
bons,1,1956.95,0.01,1354.0,195694.72
sejam,1,1956.95,0.01,710.0,195694.72
alguém,1,1956.95,0.01,560.0,195694.72
afazeres,1,1956.95,0.01,21461.0,195694.72
doente,1,1956.95,0.01,5131.0,195694.72
mandou,1,1956.95,0.01,5022.0,195694.72
mostrou,1,1956.95,0.01,2451.0,195694.72
amava,1,1956.95,0.01,12382.0,195694.72
encontramos,1,1956.95,0.01,4104.0,195694.72
direção,1,1956.95,0.01,890.0,195694.72
surreal,1,1956.95,0.01,23249.0,195694.72
mágico,1,1956.95,0.01,7145.0,195694.72
pedi,1,1956.95,0.01,8694.0,195694.72
casal,1,1956.95,0.01,1334.0,195694.72
paz,1,1956.95,0.01,1422.0,195694.72
tranquilidade,1,1956.95,0.01,4340.0,195694.72
ficaria,1,1956.95,0.01,6078.0,195694.72
tornou,1,1956.95,0.01,1645.0,195694.72
significativo,1,1956.95,0.01,5708.0,195694.72
pessoalmente,1,1956.95,0.01,4559.0,195694.72
sentiu,1,1956.95,0.01,6123.0,195694.72
cuidar,1,1956.95,0.01,2606.0,195694.72
pena,1,1956.95,0.01,752.0,195694.72
tivéssemos,1,1956.95,0.01,18659.0,195694.72
ansiosa,1,1956.95,0.01,10450.0,195694.72
fiquei,1,1956.95,0.01,1509.0,195694.72
