palavra,lema,pos,entidade,dependencia,ranking
disse,dizer,VERB,-,acl:relcl,204
que,que,SCONJ,-,mark,7
me,eu,PRON,-,obj,86
amava,amava,VERB,-,ccomp,12382
.,.,PUNCT,-,punct,3
Estávamos,Estávamos,AUX,-,cop,18273
com,com,ADP,-,case,12
seus,seu,DET,-,det,72
amigos,amigo,NOUN,-,ROOT,481
e,e,CCONJ,-,cc,4
família,família,NOUN,-,conj,263
",",",",PUNCT,-,punct,0
que,que,PRON,-,nsubj,7
são,ser,AUX,-,cop,46
importantes,importante,ADJ,-,acl:relcl,783
também,também,ADV,-,advmod,48
na,em o,ADP,-,case,20
sua,seu,DET,-,det,37
vida,vida,NOUN,-,obl,90
.,.,PUNCT,-,punct,3
E,e,CCONJ,-,cc,79
isso,isso,PRON,-,nsubj,70
tornou,tornar,VERB,-,ROOT,1645
ainda,ainda,ADV,-,advmod,68
mais,mais,ADV,-,advmod,25
aquele,aquele,DET,-,det,677
momento,momento,NOUN,-,obj,201
significativo,significativo,ADJ,-,amod,5708
pra,pra,ADP,-,case,161
mim,eu,PRON,-,obl,380
.,.,PUNCT,-,punct,3
Entrevistadora,entrevistadora,NOUN,PER,ROOT,384736
:,:,PUNCT,-,punct,27
Teve,Teve,VERB,-,ROOT,8094
alguma,algum,DET,-,det,410
coisa,coisa,NOUN,-,obj,267
que,que,PRON,-,nsubj,7
te,te,PRON,-,obj,398
surpreendeu,surpreender,VERB,-,acl:relcl,9426
em,em,ADP,-,case,10
mim,eu,PRON,-,obl,380
",",",",PUNCT,-,punct,0
pessoalmente,pessoalmente,ADV,-,advmod,4559
?,?,PUNCT,-,punct,49
Seja,seja,VERB,-,ROOT,3242
pro,pro,ADP,-,case,1998
bem,bem,NOUN,-,advmod,69
ou,ou,CCONJ,-,cc,33
pro,pro,ADP,-,case,1998
mal,mal,NOUN,-,conj,684
?,?,PUNCT,-,punct,49
Entrevistada,Entrevistada,NOUN,-,ROOT,178437
:,:,PUNCT,-,punct,27
Não,não,ADV,-,advmod,102
",",",",PUNCT,-,punct,0
nada,nada,PRON,-,nsubj,220
me,eu,PRON,-,obj,86
surpreendeu,surpreender,VERB,-,ROOT,9426
em,em,ADP,-,case,10
você,você,PRON,-,obj,54
.,.,PUNCT,-,punct,3
Seria,ser,AUX,-,cop,5093
exatamente,exatamente,ADV,-,advmod,1358
como,como,SCONJ,-,mark,29
eu,eu,PRON,-,nsubj,63
esperava,esperar,VERB,-,ROOT,4774
.,.,PUNCT,-,punct,3
Entrevistadora,entrevistadora,NOUN,ORG,ROOT,384736
:,:,PUNCT,-,punct,27
Se,se,SCONJ,-,mark,135
você,você,PRON,-,nsubj,54
pudesse,poder,VERB,-,advcl,3335
reviver,reviver,VERB,-,xcomp,18887
aquele,aquele,DET,-,det,677
momento,momento,NOUN,-,obj,201
em,em,ADP,-,case,10
que,que,PRON,-,obl,7
a,o,DET,-,det,5
gente,gente,NOUN,-,nsubj,309
se,se,PRON,-,expl,24
encontrou,encontrar,VERB,-,acl:relcl,3438
ou,ou,CCONJ,-,cc,33
os,o,DET,-,det,18
dias,dia,NOUN,-,obl,144
que,que,PRON,-,obj,7
você,você,PRON,-,nsubj,54
passou,passar,VERB,-,acl:relcl,616
no,em o,ADP,-,case,16
Brasil,Brasil,PROPN,LOC,obl,99
",",",",PUNCT,-,punct,0
faria,fazer,VERB,-,ROOT,4646
algo,algo,PRON,-,obj,284
diferente,diferente,ADJ,-,amod,606
?,?,PUNCT,-,punct,49
Entrevistada,Entrevistada,NOUN,-,obl,178437
:,:,PUNCT,-,punct,27
Eu,eu,PRON,-,nsubj,171
não,não,ADV,-,advmod,21
faria,fazer,VERB,-,ROOT,4646
nada,nada,ADV,-,advmod,220
diferente,diferente,ADJ,-,xcomp,606
.,.,PUNCT,-,punct,3
Entrevistadora,entrevistadora,NOUN,MISC,ROOT,384736
:,:,PUNCT,MISC,punct,27
Como,como,ADV,-,advmod,198
é,ser,VERB,-,ROOT,14
pra,pra,ADV,-,advmod,161
você,você,PRON,-,nsubj,54
olhar,olhar,VERB,-,xcomp,1037
pra,pra,ADP,-,case,161
trás,trás,ADV,-,advmod,1555
pra,pra,ADP,-,case,161
tudo,tudo,PRON,-,obl,109
que,que,SCONJ,-,obj,7
a,o,DET,-,det,5
gente,gente,NOUN,-,nsubj,309
viveu,viver,VERB,-,acl:relcl,4772
",",",",PUNCT,-,punct,0
pro,pro,ADP,-,case,1998
relacionamento,relacionamento,NOUN,-,obl,1557
à,a o,ADP,-,case,43
distância,distância,NOUN,-,nmod,1294
e,e,CCONJ,-,cc,4
hoje,hoje,ADV,-,advmod,163
saber,saber,VERB,-,conj,283
que,que,SCONJ,-,mark,7
hoje,hoje,ADV,-,advmod,163
eu,eu,PRON,-,nsubj,63
estou,estar,AUX,-,aux,381
aqui,aqui,ADV,-,advmod,140
",",",",PUNCT,-,punct,0
dividindo,dividir,VERB,-,ccomp,17508
o,o,DET,-,det,6
mesmo,mesmo,ADJ,-,amod,66
teto,teto,NOUN,-,obj,4304
e,e,CCONJ,-,cc,4
a,o,DET,-,det,5
vida,vida,NOUN,-,conj,90
bem,bem,ADV,-,advmod,69
perto,perto,ADV,-,advmod,775
de,de,ADP,-,case,2
você,você,PRON,-,obl,54
?,?,PUNCT,-,punct,49
Entrevistada,Entrevistada,NOUN,-,ROOT,178437
:,:,PUNCT,-,punct,27
É,ser,AUX,-,cop,88
incrível,incrível,ADJ,-,ROOT,1746
poder,poder,NOUN,-,csubj,275
hoje,hoje,ADV,-,advmod,163
viver,viver,VERB,-,xcomp,976
essa,esse,DET,-,det,141
etapa,etapa,NOUN,-,obj,1465
com,com,ADP,-,case,12
você,você,PRON,-,obl,54
.,.,PUNCT,-,punct,3
Fazer,fazer,VERB,-,ROOT,4940
parte,parte,NOUN,-,obj,112
dos,de o,ADP,-,case,30
seus,seu,DET,-,det,72
dias,dia,NOUN,-,nmod,144
",",",",PUNCT,-,punct,0
estar,estar,AUX,-,cop,238
presente,presente,ADJ,-,conj,408
",",",",PUNCT,-,punct,0
poder,poder,VERB,-,conj,275
cuidar,cuidar,VERB,-,xcomp,2606
e,e,CCONJ,-,cc,4
ajudar,ajudar,VERB,-,conj,559
.,.,PUNCT,-,punct,3
Ficamos,Ficamos,VERB,-,ROOT,9779
um,um,DET,-,det,13
bom,bom,ADJ,-,amod,216
tempo,tempo,NOUN,-,obj,85
longe,longe,ADV,-,amod,1223
e,e,CCONJ,-,cc,4
hoje,hoje,ADV,-,advmod,163
aproveitamos,aproveitar,VERB,-,conj,26350
cada,cada,DET,-,det,104
minuto,minuto,NOUN,-,obj,4254
que,que,SCONJ,-,nsubj,7
estamos,estar,AUX,-,cop,655
juntas,juntas,ADJ,-,acl:relcl,5482
.,.,PUNCT,-,punct,3
É,ser,AUX,-,cop,88
incrível,incrível,ADJ,-,ROOT,1746
acordar,acordar,VERB,-,csubj,6671
e,e,CCONJ,-,cc,4
saber,saber,VERB,-,conj,283
que,que,SCONJ,-,mark,7
tenho,ter,VERB,-,ccomp,301
você,você,PRON,-,obj,54
aqui,aqui,ADV,-,advmod,140
",",",",PUNCT,-,punct,0
não,não,ADV,-,advmod,21
só,só,ADV,-,advmod,96
pra,pra,SCONJ,-,mark,161
dividir,dividir,VERB,-,advcl,5317
a,o,DET,-,det,5
rotina,rotina,NOUN,-,obj,2329
",",",",PUNCT,-,punct,0
mas,mas,CCONJ,-,cc,44
pra,pra,SCONJ,-,mark,161
desfrutar,desfrutar,VERB,-,conj,4520
da,de o,ADP,-,case,9
vida,vida,NOUN,-,obj,90
.,.,PUNCT,-,punct,3
E,e,CCONJ,-,cc,79
todos,todo,DET,-,det,75
os,o,ADP,-,case,18
dias,dia,NOUN,-,obl,144
eu,eu,PRON,-,nsubj,63
agradeço,agradeçar,VERB,-,ROOT,6983
por,por,SCONJ,-,mark,22
viver,viver,VERB,-,xcomp,976
algo,algo,PRON,-,obj,284
tão,tão,ADV,-,advmod,215
bom,bom,ADJ,-,xcomp,216
com,com,ADP,-,case,12
você,você,PRON,-,obl,54
.,.,PUNCT,-,punct,3
Entrevistadora,entrevistadora,NOUN,-,ROOT,384736
:,:,PUNCT,-,punct,27
Qual,qual,PRON,-,ROOT,2393
foi,ser,AUX,-,cop,35
o,o,DET,-,det,6
momento,momento,NOUN,-,nsubj,201
difícil,difícil,ADJ,-,amod,689
que,que,PRON,-,nsubj,7
passamos,passar,VERB,-,acl:relcl,6278
juntas,junto,ADJ,-,xcomp,5482
e,e,CCONJ,-,cc,4
que,que,SCONJ,-,nsubj,7
te,te,PRON,-,obj,398
mostrou,mostrar,VERB,-,conj,2451
que,que,SCONJ,-,mark,7
fomos,ser,AUX,-,cop,2730
fortes,forte,ADJ,-,ccomp,1840
?,?,PUNCT,-,punct,49
Aliás,aliás,ADV,-,advmod,3761
",",",",PUNCT,-,punct,0
que,que,PRON,-,mark,7
somos,ser,AUX,-,cop,1147
fortes,forte,ADJ,-,nsubj,1840
juntas,junta,NOUN,-,ROOT,5482
?,?,PUNCT,-,punct,49
Entrevistada,entrevistada,NOUN,-,acl,178437
:,:,PUNCT,-,punct,27
O,o,DET,-,det,28
momento,momento,NOUN,-,nsubj,201
mais,mais,ADV,-,advmod,25
difícil,difícil,ADJ,-,amod,689
que,que,SCONJ,-,mark,7
passamos,passar,VERB,-,ccomp,6278
foi,ser,AUX,-,cop,35
o,o,DET,-,det,6
período,período,NOUN,-,obl,314
em,em,ADP,-,case,10
que,que,PRON,-,obl,7
estávamos,estar,AUX,-,cop,5653
distantes,distante,ADJ,-,acl:relcl,8099
.,.,PUNCT,-,punct,3
perdíamos,perdíamos,VERB,-,ROOT,156038
muitas,muito,DET,-,det,245
coisas,coisa,NOUN,-,obj,269
importantes,importante,ADJ,-,amod,783
como,como,ADP,-,case,29
aniversários,aniversário,NOUN,-,nmod,19735
",",",",PUNCT,-,punct,0
momentos,momento,NOUN,-,conj,819
especiais,especial,ADJ,-,amod,1366
e,e,CCONJ,-,cc,4
o,o,DET,-,det,6
prazer,prazer,NOUN,-,dep,1552
de,de,SCONJ,-,mark,2
estar,estar,AUX,-,cop,238
perto,perto,ADV,-,advmod,775
.,.,PUNCT,-,punct,3
Mas,mas,CCONJ,-,cc,130
mesmo,mesmo,ADV,-,advmod,66
com,com,ADP,-,case,12
isso,isso,PRON,-,obl,70
",",",",PUNCT,-,punct,0
sempre,sempre,ADV,-,advmod,100
fazíamos,fazíamos,VERB,-,ROOT,33013
questão,questão,NOUN,-,obj,520
de,de,SCONJ,-,mark,2
se,se,PRON,-,expl,24
fazer,fazer,VERB,-,acl,82
presente,presente,ADJ,-,xcomp,408
",",",",PUNCT,-,punct,0
com,com,ADP,-,case,12
alguma,algum,DET,-,det,410
surpresa,surpresa,NOUN,-,obl,2470
",",",",PUNCT,-,punct,0
ligações,ligação,NOUN,-,conj,4321
",",",",PUNCT,-,punct,0
mensagens,mensagem,NOUN,-,conj,2011
",",",",PUNCT,-,punct,0
da,de o,ADP,-,case,9
forma,forma,NOUN,-,nmod,94
que,que,PRON,-,nsubj,7
conseguimos,conseguir,VERB,-,acl:relcl,3969
.,.,PUNCT,-,punct,3
Entrevistadora,entrevistadora,NOUN,-,ROOT,384736
:,:,PUNCT,-,punct,27
Qual,qual,DET,-,det,2393
hábito,hábito,NOUN,-,nsubj,4575
ou,ou,CCONJ,-,cc,33
jeito,jeito,NOUN,-,conj,1322
meu,meu,DET,-,det,137
você,você,PRON,-,nsubj,54
achou,achar,VERB,-,ROOT,5673
estranho,estranho,ADJ,-,xcomp,3193
no,em o,ADP,-,case,16
começo,começo,NOUN,-,obl,1760
",",",",PUNCT,-,punct,0
mas,mas,CCONJ,-,cc,44
agora,agora,ADV,-,advmod,193
já,já,ADV,-,advmod,57
se,se,PRON,-,expl,24
acostumou,acostumar,VERB,-,conj,48821
e,e,CCONJ,-,cc,4
até,até,ADV,-,advmod,59
gosta,gostar,VERB,-,conj,1418
?,?,PUNCT,-,punct,49
Entrevistada,entrevistada,NOUN,-,ROOT,178437
:,:,PUNCT,-,punct,27
Você,você,PRON,-,nsubj,268
tem,ter,VERB,-,ROOT,52
um,um,DET,-,det,13
jeito,jeito,NOUN,-,obj,1322
peculiar,peculiar,ADJ,-,amod,10762
de,de,SCONJ,-,mark,2
dormir,dormir,VERB,-,acl,2510
.,.,PUNCT,-,punct,3
Conforme,conforme,SCONJ,-,mark,3481
vai,ir,AUX,-,aux,101
se,se,PRON,-,expl,24
mexendo,mexer,VERB,-,advcl,10495
à,a o,ADP,-,case,43
noite,noite,NOUN,-,obl,358
",",",",PUNCT,-,punct,0
o,o,DET,-,det,6
cabelo,cabelo,NOUN,-,nsubj,1077
fica,ficar,VERB,-,ROOT,312
todo,todo,DET,-,det,131
bagunçado,bagunçado,ADJ,-,xcomp,46228
.,.,PUNCT,-,punct,3
E,e,CCONJ,-,cc,79
eu,eu,PRON,-,nsubj,63
",",",",PUNCT,-,punct,0
por,por,SCONJ,-,mark,22
ter,ter,VERB,-,advcl,80
sono,sono,NOUN,-,obj,2972
leve,leve,VERB,-,amod,1369
",",",",PUNCT,-,punct,0
às,a o,ADP,-,case,105
vezes,vez,NOUN,-,obl,179
me,eu,PRON,-,obj,86
assustava,assustar,VERB,-,ROOT,74559
quando,quando,ADV,-,mark,71
virava,virar,VERB,-,advcl,46874
pro,pro,ADP,-,case,1998
seu,seu,DET,-,det,42
lado,lado,NOUN,-,obj,223
.,.,PUNCT,-,punct,3
No,em o,ADP,-,case,91
começo,começo,NOUN,-,obl,1760
era,ser,AUX,-,cop,95
um,um,DET,-,det,13
pouco,pouco,ADV,-,fixed,182
assustador,assustador,ADJ,-,ROOT,13928
",",",",PUNCT,-,punct,0
mas,mas,CCONJ,-,cc,44
com,com,ADP,-,case,12
o,o,DET,-,det,6
tempo,tempo,NOUN,-,obl,85
eu,eu,PRON,-,nsubj,63
fui,ser,AUX,-,aux,935
me,eu,PRON,-,obj,86
acostumando,acostumar,VERB,-,conj,34389
.,.,PUNCT,-,punct,3
Entrevistadora,entrevistadora,NOUN,-,ROOT,384736
:,:,PUNCT,-,punct,27
O,o,PRON,-,appos,28
que,que,PRON,-,nsubj,7
mais,mais,ADV,-,advmod,25
te,te,PRON,-,obj,398
faz,fazer,VERB,-,acl:relcl,188
sentir,sentir,VERB,-,xcomp,1161
amada,amado,VERB,-,xcomp,7831
no,em o,ADP,-,case,16
nosso,nosso,DET,-,det,173
dia,dia,NOUN,-,obl,67
a,a,ADP,-,case,5
dia,dia,NOUN,-,nmod,67
?,?,PUNCT,-,punct,49
Entrevistada,entrevistada,NOUN,-,ROOT,178437
:,:,PUNCT,-,punct,27
O,o,PRON,-,nsubj,28
que,que,PRON,-,nsubj,7
mais,mais,ADV,-,advmod,25
me,eu,PRON,-,obj,86
faz,fazer,VERB,-,acl:relcl,188
sentir,sentir,VERB,-,xcomp,1161
amada,amado,VERB,-,xcomp,7831
no,em o,ADP,-,case,16
nosso,nosso,DET,-,det,173
dia,dia,NOUN,-,obl,67
a,a,ADP,-,case,5
dia,dia,NOUN,-,nmod,67
é,ser,AUX,-,cop,14
o,o,DET,-,det,6
cuidado,cuidado,NOUN,-,parataxis,1359
que,que,PRON,-,obj,7
você,você,PRON,-,nsubj,54
tem,ter,VERB,-,acl:relcl,52
comigo,comigo,PRON,-,obj,1635
.,.,PUNCT,-,punct,3
Não,não,ADV,-,advmod,102
só,só,ADV,-,advmod,96
quando,quando,ADV,-,advmod,71
estou,estar,AUX,-,cop,381
doente,doente,ADJ,-,ROOT,5131
ou,ou,CCONJ,-,cc,33
com,com,ADP,-,case,12
os,o,DET,-,det,18
nossos,nosso,DET,-,det,333
afazeres,afazer,NOUN,-,conj,21461
",",",",PUNCT,-,punct,0
mas,mas,CCONJ,-,cc,44
de,de,ADP,-,case,2
forma,forma,NOUN,-,conj,94
geral,geral,ADJ,-,amod,431
.,.,PUNCT,-,punct,3
É,ser,AUX,-,cop,88
muito,muito,ADV,-,advmod,50
bom,bom,ADJ,-,ROOT,216
saber,saber,VERB,-,csubj,283
que,que,SCONJ,-,mark,7
tem,ter,VERB,-,ccomp,52
alguém,alguém,PRON,-,obj,560
aqui,aqui,ADV,-,advmod,140
pra,pra,ADP,-,case,161
você,você,PRON,-,obl,54
em,em,ADP,-,case,10
todos,todo,DET,-,det,75
os,o,DET,-,fixed,18
momentos,momento,NOUN,-,nmod,819
",",",",PUNCT,-,punct,0
sejam,ser,AUX,-,cop,710
bons,bom,ADJ,-,conj,1354
ou,ou,CCONJ,-,cc,33
ruins,ruim,ADJ,-,conj,7348
.,.,PUNCT,-,punct,3
Entrevistadora,entrevistadora,NOUN,-,ROOT,384736
:,:,PUNCT,-,punct,27
O,o,PRON,-,appos,28
que,que,PRON,-,obj,7
você,você,PRON,-,nsubj,54
mais,mais,ADV,-,advmod,25
admira,admirar,VERB,-,acl:relcl,21758
em,em,ADP,-,case,10
mim,eu,PRON,-,obl,380
?,?,PUNCT,-,punct,49
Entrevistada,Entrevistada,NOUN,-,obl,178437
:,:,PUNCT,-,punct,27
Tem,ter,VERB,-,ROOT,1013
diversas,diversos,DET,-,det,541
coisas,coisa,NOUN,-,obj,269
que,que,PRON,-,obj,7
eu,eu,PRON,-,nsubj,63
acho,achar,VERB,-,acl:relcl,697
admirável,admirável,ADJ,-,xcomp,18201
em,em,ADP,-,case,10
você,você,PRON,-,obl,54
.,.,PUNCT,-,punct,3
Uma,um,NUM,-,nsubj,209
delas,de elas,PRON,-,nmod,1164
é,ser,AUX,-,cop,14
como,como,ADV,-,advmod,29
você,você,PRON,-,nsubj,54
se,se,PRON,-,expl,24
preocupa,preocupar,VERB,-,ROOT,7877
e,e,CCONJ,-,cc,4
cuida,cuidar,VERB,-,conj,8867
de,de,ADP,-,case,2
todos,todo,PRON,-,obj,75
que,que,PRON,-,obj,7
ama,amar,VERB,-,acl:relcl,3271
.,.,PUNCT,-,punct,3
Família,família,NOUN,-,ROOT,2980
",",",",PUNCT,-,punct,0
amigos,amigo,NOUN,-,conj,481
e,e,CCONJ,-,cc,4
eu,eu,PRON,-,conj,63
.,.,PUNCT,-,punct,3
Você,você,PRON,-,nsubj,268
é,ser,AUX,-,cop,14
aquela,aquele,DET,-,det,941
pessoa,pessoa,NOUN,-,ROOT,244
que,que,PRON,-,obj,7
todos,todo,PRON,-,nsubj,75
podem,poder,VERB,-,acl:relcl,146
contar,contar,VERB,-,xcomp,1008
quando,quando,ADV,-,advmod,71
precisa,precisar,VERB,-,advcl,343
.,.,PUNCT,-,punct,3
Também,também,ADV,-,advmod,629
admiro,admirar,VERB,-,ROOT,17852
sua,seu,DET,-,det,37
determinação,determinação,NOUN,-,obj,3583
em,em,SCONJ,-,mark,10
fazer,fazer,VERB,-,advcl,82
as,o,DET,-,det,23
coisas,coisa,NOUN,-,nsubj,269
darem,dar,VERB,-,ccomp,15439
certo,certo,ADV,-,obj,573
.,.,PUNCT,-,punct,3
Sua,seu,DET,-,det,842
positividade,positividade,NOUN,-,ROOT,35616
",",",",PUNCT,-,punct,0
honestidade,honestidade,NOUN,-,conj,11659
",",",",PUNCT,-,punct,0
inteligência,inteligência,NOUN,-,conj,2817
e,e,CCONJ,-,cc,4
várias,várias,DET,-,det,377
outras,outro,PRON,-,conj,158
.,.,PUNCT,-,punct,3
Entrevistadora,entrevistadora,NOUN,PER,ROOT,384736
:,:,PUNCT,-,punct,27
Quando,quando,ADV,-,mark,259
você,você,PRON,-,nsubj,54
pensa,pensar,VERB,-,ROOT,2951
no,em o,ADP,-,case,16
nosso,nosso,DET,-,det,173
futuro,futuro,NOUN,-,obl,732
",",",",PUNCT,-,punct,0
o,o,PRON,-,appos,6
que,que,PRON,-,nsubj,7
vem,vir,VERB,-,acl:relcl,347
à,a o,ADP,-,case,43
sua,seu,DET,-,det,37
mente,mente,NOUN,-,obl,1259
?,?,PUNCT,-,punct,49
Entrevistada,Entrevistada,NOUN,-,ROOT,178437
:,:,PUNCT,-,punct,27
Sobre,sobre,ADP,-,case,1908
o,o,DET,-,det,6
futuro,futuro,NOUN,-,obl,732
",",",",PUNCT,-,punct,0
primeiramente,primeiramente,ADV,-,advmod,7397
eu,eu,PRON,-,nsubj,63
espero,esperar,VERB,-,ROOT,2525
que,que,SCONJ,-,mark,7
estejamos,estejar,VERB,-,cop,21009
juntas,junto,ADJ,-,ccomp,5482
e,e,CCONJ,-,cc,4
que,que,SCONJ,-,mark,7
continuemos,continuemos,VERB,-,conj,55417
fazendo,fazer,VERB,-,xcomp,490
as,o,DET,-,det,23
coisas,coisa,NOUN,-,nsubj,269
darem,dar,VERB,-,advcl,15439
certo,certo,NOUN,-,obj,573
com,com,ADP,-,case,12
respeito,respeito,NOUN,-,obl,566
",",",",PUNCT,-,punct,0
empatia,empatia,NOUN,-,conj,10883
e,e,CCONJ,-,cc,4
admiração,admiração,NOUN,-,conj,9268
.,.,PUNCT,-,punct,3
Entrevistadora,entrevistadora,NOUN,MISC,ROOT,384736
:,:,PUNCT,MISC,punct,27
Que,que,DET,-,mark,580
conselho,conselho,NOUN,-,nsubj,3220
você,você,PRON,-,nsubj,54
daria,dar,VERB,-,ROOT,7203
para,para,ADP,-,case,11
casais,casal,NOUN,-,obj,4251
que,que,PRON,-,nsubj,7
estão,estar,AUX,-,aux,121
começando,começar,VERB,-,acl:relcl,3779
uma,um,DET,-,det,15
história,história,NOUN,-,obj,200
de,de,ADP,-,case,2
distância,distância,NOUN,-,nmod,1294
",",",",PUNCT,-,punct,0
como,como,ADP,-,case,29
a,o,DET,-,det,5
nossa,nosso,DET,-,obl,190
?,?,PUNCT,-,punct,49
Entrevistada,entrevistada,NOUN,-,ROOT,178437
:,:,PUNCT,-,punct,27
Para,para,ADP,-,case,106
os,o,DET,-,det,18
casais,casal,NOUN,-,obl,4251
que,que,PRON,-,nsubj,7
estão,estar,AUX,-,aux,121
começando,começar,VERB,-,acl:relcl,3779
uma,um,DET,-,det,15
relação,relação,NOUN,-,obj,249
a,a,DET,-,det,5
distância,distância,NOUN,-,nmod,1294
",",",",PUNCT,-,punct,0
eu,eu,PRON,-,nsubj,63
diria,dir,VERB,-,ROOT,6085
para,para,SCONJ,-,mark,11
terem,ter,VERB,-,xcomp,1879
paciência,paciência,NOUN,-,obj,4152
",",",",PUNCT,-,punct,0
planejamento,planejamento,NOUN,-,dep,1756
juntos,junto,ADJ,-,amod,1624
para,para,SCONJ,-,mark,11
se,se,PRON,-,expl,24
ver,ver,VERB,-,advcl,197
com,com,ADP,-,case,12
uma,um,DET,-,det,15
data,data,NOUN,-,obl,586
certa,certo,ADJ,-,amod,1252
de,de,ADP,-,case,2
encontro,encontro,NOUN,-,nmod,881
",",",",PUNCT,-,punct,0
que,que,PRON,-,nsubj,7
compartilhem,compartilhar,VERB,-,acl:relcl,39303
sobre,sobre,ADP,-,case,55
o,o,DET,-,det,6
dia,dia,NOUN,-,obl,67
a,a,ADP,-,case,5
dia,dia,NOUN,-,nmod,67
e,e,CCONJ,-,cc,4
cada,cada,DET,-,det,104
momento,momento,NOUN,-,conj,201
",",",",PUNCT,-,punct,0
porque,porque,SCONJ,-,mark,128
isso,isso,PRON,-,nsubj,70
faz,fazer,VERB,-,advcl,188
toda,todo,DET,-,det,199
a,o,DET,-,det,5
diferença,diferença,NOUN,-,obj,927
.,.,PUNCT,-,punct,3
É,ser,AUX,-,cop,88
difícil,difícil,ADJ,-,ROOT,689
",",",",PUNCT,-,punct,0
mas,mas,CCONJ,-,cc,44
se,se,PRON,-,nsubj,24
existe,existir,VERB,-,conj,529
um,um,DET,-,det,13
sentimento,sentimento,NOUN,-,nsubj,2432
",",",",PUNCT,-,punct,0
a,o,DET,-,det,5
distância,distância,NOUN,-,nsubj,1294
vai,ir,AUX,-,aux,101
ser,ser,AUX,-,cop,36
só,só,ADV,-,advmod,96
um,um,DET,-,det,13
detalhe,detalhe,NOUN,-,conj,3504
.,.,PUNCT,-,punct,3
Quiz,quiz,NOUN,MISC,ROOT,62750
do,de o,ADP,-,case,8
casal,casal,NOUN,-,nmod,1334
:,:,PUNCT,-,punct,27
Entrevistadora,entrevistadora,NOUN,MISC,ROOT,384736
:,:,PUNCT,MISC,punct,27
Agora,agora,ADV,-,advmod,691
",",",",PUNCT,-,punct,0
eu,eu,PRON,-,nsubj,63
separei,separar,VERB,-,ROOT,24984
algumas,algum,DET,-,det,226
perguntas,pergunta,NOUN,-,obj,2184
que,que,PRON,-,obj,7
eu,eu,PRON,-,nsubj,63
denominei,denomineer,VERB,-,acl:relcl,213054
como,como,ADP,-,case,29
quiz,quiz,PROPN,-,xcomp,35775
do,de o,ADP,-,case,8
amor,amor,PROPN,-,nmod,357
.,.,PUNCT,-,punct,3
São,ser,AUX,-,cop,103
perguntas,pergunta,NOUN,-,ROOT,2184
curtas,curto,ADJ,-,amod,6908
",",",",PUNCT,-,punct,0
em,em,ADP,-,case,10
tese,tese,NOUN,-,obl,4052
com,com,ADP,-,case,12
respostas,resposta,NOUN,-,nmod,2209
rápidas,rápido,ADJ,-,acl,7819
e,e,CCONJ,-,cc,4
objetivas,objetivo,ADJ,-,conj,10710
",",",",PUNCT,-,punct,0
você,você,PRON,-,appos,54
ou,ou,CCONJ,-,cc,33
eu,eu,PRON,-,conj,63
.,.,PUNCT,-,punct,3
Mas,mas,CCONJ,-,cc,130
",",",",PUNCT,-,punct,0
eu,eu,PRON,-,nsubj,63
gostaria,gostar,VERB,-,ROOT,1459
que,que,SCONJ,-,mark,7
você,você,PRON,-,nsubj,54
justificasse,justificar,VERB,-,ccomp,71068
a,o,DET,-,det,5
sua,seu,DET,-,det,37
resposta,resposta,NOUN,-,obj,845
.,.,PUNCT,-,punct,3
",",",",PUNCT,-,punct,0
eu,eu,PRON,-,nsubj,63
vou,ir,AUX,-,aux,469
te,te,SCONJ,-,mark,398
fazer,fazer,VERB,-,advcl,82
uma,um,DET,-,det,15
pergunta,pergunta,NOUN,-,obj,1671
",",",",PUNCT,-,punct,0
você,você,PRON,-,nsubj,54
me,eu,PRON,-,obj,86
diz,dizer,VERB,-,ROOT,274
se,se,SCONJ,-,mark,24
é,ser,AUX,-,cop,14
você,você,PRON,-,ccomp,54
ou,ou,CCONJ,-,cc,33
se,se,SCONJ,-,mark,24
sou,ser,AUX,-,cop,525
eu,eu,PRON,-,conj,63
e,e,CCONJ,-,cc,4
por,por,ADP,-,case,22
quê,quê,PRON,-,conj,4154
.,.,PUNCT,-,punct,3
Ok,ok,INTJ,-,cc,10180
?,?,PUNCT,-,punct,49
Entrevistada,Entrevistada,NOUN,-,ROOT,178437
:,:,PUNCT,-,punct,27
Ok,ok,INTJ,-,ROOT,10180
.,.,PUNCT,-,punct,3
Entrevistadora,entrevistadora,NOUN,-,ROOT,384736
:,:,PUNCT,-,punct,27
Quem,quem,PRON,-,nsubj,753
dorme,dormer,VERB,-,parataxis,12176
mais,mais,ADV,-,advmod,25
?,?,PUNCT,-,punct,49
Entrevistada,entrevistada,NOUN,-,ROOT,178437
:,:,PUNCT,-,punct,27
Você,Você,PROPN,-,ROOT,268
.,.,PUNCT,-,punct,3
Porque,porque,SCONJ,-,mark,1560
qualquer,qualquer,DET,-,det,133
cantinho,cantinho,NOUN,-,nsubj,8784
aconchegante,aconchegante,ADJ,-,amod,8494
",",",",PUNCT,-,punct,0
você,você,PRON,-,nsubj,54
deita,deitar,VERB,-,ROOT,31500
e,e,CCONJ,-,cc,4
dorme,dormer,VERB,-,conj,12176
.,.,PUNCT,-,punct,3
E,e,CCONJ,-,cc,79
nem,nem,CCONJ,-,cc,180
precisa,precisar,VERB,-,ROOT,343
ser,ser,AUX,-,cop,36
aconchegante,aconchegante,ADJ,-,xcomp,8494
