POS,Contagem de POS
PUNCT,298
NOUN,275
PRON,253
VERB,217
DET,138
ADP,136
ADV,127
ADJ,88
AUX,83
SCONJ,78
SPACE,74
CCONJ,72
PROPN,35
NUM,8
INTJ,3
Total Geral,1885
